count_products,count_orders,sum_price,count_reviews,mean_review_score,last_order_purchase_dttm
1,1,129.9,1,5.0,2018-05-10 10:56:27
1,1,18.9,1,4.0,2018-05-07 11:11:27
1,1,69.0,1,3.0,2017-03-10 21:05:03
1,1,25.99,1,4.0,2017-10-12 20:29:41
1,1,180.0,1,5.0,2017-11-14 19:45:42
1,1,154.0,1,4.0,2018-04-05 19:33:16
1,1,27.99,1,4.0,2018-04-20 12:57:23
2,1,382.0,1,1.0,2018-02-28 11:15:41
1,1,135.0,1,4.0,2017-03-04 23:32:12
1,1,104.9,1,1.0,2018-03-12 15:22:12
1,1,13.9,1,3.0,2017-07-18 09:23:10
1,1,79.0,1,5.0,2017-11-19 15:22:02
1,1,49.95,1,5.0,2018-03-24 14:44:41
1,1,64.89,1,4.0,2018-04-23 09:55:46
1,1,76.99,1,4.0,2017-08-11 13:45:15
1,1,35.0,2,4.5,2017-09-29 14:46:58
1,1,13.9,1,5.0,2017-12-12 22:53:35
1,1,28.9,1,5.0,2018-01-07 22:59:25
2,1,229.8,1,2.0,2017-08-17 19:10:33
1,1,59.9,1,3.0,2018-06-25 09:53:57
1,1,14.96,1,5.0,2018-08-21 11:34:26
1,1,12.88,1,5.0,2018-05-20 16:26:06
2,1,285.79999999999995,1,5.0,2018-07-26 09:43:52
1,1,299.0,1,1.0,2017-07-11 11:22:43
1,1,49.95,1,4.0,2018-03-05 17:08:53
1,1,170.0,1,4.0,2017-08-31 17:12:56
1,1,59.99,1,4.0,2017-01-21 21:58:35
1,1,269.0,1,3.0,2017-04-24 13:36:48
1,1,174.33,1,5.0,2017-06-28 11:08:38
1,1,99.99,1,5.0,2017-08-05 14:08:47
1,1,129.9,1,1.0,2017-10-17 15:46:36
1,1,88.0,1,5.0,2018-01-18 20:49:36
1,1,59.8,1,5.0,2018-08-02 18:23:51
1,2,74.5,2,4.0,2018-07-28 00:23:49
1,1,47.9,1,3.0,2017-04-19 11:32:09
2,1,48.79,1,4.0,2017-08-17 12:55:47
2,1,136.89000000000001,1,2.0,2018-08-24 21:17:00
1,1,22.32,1,5.0,2018-07-28 09:29:12
1,1,12.9,1,3.0,2018-02-22 19:06:44
1,1,79.9,1,1.0,2018-02-11 00:55:30
1,1,159.99,1,5.0,2018-05-01 09:25:32
1,1,24.88,1,4.0,2017-06-29 22:43:49
1,1,151.9,1,5.0,2018-07-11 19:49:54
1,1,9.0,1,5.0,2018-05-21 01:24:25
1,1,99.9,1,4.0,2017-11-06 17:35:49
1,1,89.99,1,5.0,2017-12-08 11:32:44
1,1,39.9,1,4.0,2018-06-22 16:07:29
1,1,24.88,1,3.0,2017-03-19 18:34:36
1,1,176.99,1,4.0,2017-03-26 16:45:59
1,1,116.25,1,5.0,2018-06-27 11:34:34
1,1,89.9,1,3.0,2018-03-28 19:53:14
1,1,68.9,1,5.0,2018-08-08 20:36:30
1,1,39.5,1,3.0,2018-06-01 17:41:18
2,1,177.9,1,1.0,2018-07-24 11:09:11
1,1,37.9,1,5.0,2018-03-25 11:51:37
1,1,274.0,1,3.0,2017-12-13 15:49:39
1,1,95.9,1,5.0,2018-01-07 00:12:45
1,1,237.8,1,3.0,2017-10-27 14:25:35
1,1,39.9,1,2.0,2017-11-02 13:24:21
1,1,199.9,1,1.0,2018-02-27 12:47:48
2,1,103.98,1,3.0,2017-10-08 23:56:02
1,1,49.9,1,2.0,2017-02-01 13:53:16
1,1,23.99,1,5.0,2017-12-05 19:04:42
1,1,196.99,1,1.0,2017-10-31 17:32:22
1,1,19.49,1,4.0,2018-01-15 18:39:36
1,1,115.0,1,5.0,2017-05-22 22:24:51
1,1,44.99,1,5.0,2018-04-12 11:03:44
1,1,119.9,1,5.0,2017-07-22 13:24:06
1,1,97.9,1,5.0,2018-01-30 13:50:27
1,1,92.9,1,4.0,2018-02-14 20:56:34
1,1,59.9,1,1.0,2017-10-29 12:19:51
1,1,49.99,1,5.0,2017-08-28 21:35:08
1,1,514.9,1,5.0,2018-07-14 15:45:27
1,1,29.9,1,5.0,2017-06-21 20:40:38
1,1,128.9,1,4.0,2016-10-06 11:32:00
1,1,45.0,1,5.0,2018-07-16 15:32:50
1,1,350.0,1,5.0,2018-06-26 01:07:23
