seller_id,2017,2018,absolute_growth,percentage_growth,seller_zip_code_prefix,mean_geolocation_lat,mean_geolocation_lng,total_sales
0015a82c2db000af6aaaf3ae2ecb0532,2685.0,0.0,-2685.0,-100.0,9080,-23.640443596560726,-46.541742273007685,2685.0
001cca7ae9ae17fb1caed9dfb1094831,21638.23000000001,3441.8,-18196.43000000001,-84.09389307720642,29156,-20.278512891406116,-40.411675223412075,25080.03000000001
002100f778ceb8431b7a1020ff7ab48f,799.6999999999995,434.79999999999995,-364.8999999999995,-45.629611104164034,14405,-20.52875913617737,-47.411109783856105,1234.4999999999995
003554e2dce176b5555353e4f3555ac8,120.0,0.0,-120.0,-100.0,74565,-16.64057412255124,-49.27648326906267,120.0
004c9cd9d87a3c30c522c48c4fc07416,16445.85999999998,3266.85,-13179.009999999978,-80.13573020808882,14940,-21.757320637712766,-48.829743533437124,19712.709999999977
00720abe85ba0859807595bbf045a33b,0.0,1007.5000000000001,1007.5000000000001,inf,7070,-23.451973236755524,-46.55717167587118,1007.5000000000001
00ab3eff1b5192e5f1a63bcecfee11c8,98.0,0.0,-98.0,-100.0,4164,-23.627534295197535,-46.60829070808081,98.0
00d8b143d12632bad99c0ad66ad52825,0.0,86.0,86.0,inf,30170,-19.92710413330578,-43.94496355953477,86.0
00ee68308b45bc5e2660cd833c3f81cc,4768.0,15492.0,10724.0,224.91610738255034,3333,-23.55619057504086,-46.569128350390784,20260.0
00fc707aaaad2d31347cf883cd2dfe10,0.0,12684.899999999992,12684.899999999992,inf,87025,-23.38247209396673,-51.927966489669856,12684.899999999992
010543a62bd80aa422851e79a3bc7540,1416.0,0.0,-1416.0,-100.0,1212,-23.538268511790665,-46.63942263256764,1416.0
010da0602d7774602cd1b3f5fb7b709e,0.0,849.5,849.5,inf,9710,-23.710466484131683,-46.54893965048128,849.5
01266d4c46afa519678d16a8b683d325,0.0,90.25,90.25,inf,80250,-25.443619109810193,-49.276854859939675,90.25
013900e863eace745d3ec7614cab5b1a,768.6999999999999,850.9999999999999,82.29999999999995,10.706387407311047,80740,-25.441786531480886,-49.311076015365074,1619.6999999999998
014c0679dd340a0e338872e7ec85666a,2572.0,4486.0,1914.0,74.41679626749611,35180,-19.545340606723503,-42.643848513674996,7058.0
014d9a685fd57276679edd00e07089e5,69.99,659.89,589.9,842.8346906700957,87015,-23.428319760676164,-51.95833421266875,729.88
0176f73cc1195f367f7b32db1e5b3aa8,559.7,4173.400000000002,3613.7000000000025,645.6494550652138,14940,-21.757320637712766,-48.829743533437124,4733.100000000002
01bcc9d254a0143f0ce9791b960b2a47,1233.96,287.25,-946.71,-76.72128756199552,76400,-14.51847480665127,-49.14209708875238,1521.21
01c97ebb5cdac52891c0ed1c37ba0012,176.4,401.0999999999999,224.6999999999999,127.38095238095232,15804,-21.121028432249712,-48.97081828471117,577.4999999999999
01cf7e3d21494c41fb86034f2e714fa1,8613.559999999994,1045.9,-7567.659999999994,-87.85751768142323,85603,-26.044305666376317,-53.06371355213209,9659.459999999994
01ed254b9ff8407dfb9d99ba1e17d923,1465.99,0.0,-1465.99,-100.0,8710,-23.522840094345344,-46.1955458411618,1465.99
01fd077212124329bac32490e8ef80d9,0.0,1208.0,1208.0,inf,14079,-21.134122864665894,-47.74577904228066,1208.0
